1,10,4,3,4,69
1,10,6,16,5,39
1,10,6,9,5,197
1,10,12,2,2,26
1,10,5,16,5,20
1,10,5,13,5,88
1,10,18,17,5,100
1,10,7,21,5,4
1,10,15,0,5,88
1,10,0,3,6,10
2,8,14,12,4,192
2,8,8,0,6,247
2,8,17,1,5,102
2,8,0,5,3,75
2,8,15,16,1,5
2,8,7,6,3,5
2,8,13,4,7,21
2,8,15,19,1,91
3,6,13,7,3,17
3,6,14,4,1,17
3,6,19,3,6,4
3,6,7,14,5,26
3,6,20,15,5,9
3,6,10,23,4,77
4,7,2,21,5,198
4,7,21,13,5,13
4,7,1,11,7,65
4,7,23,4,4,16
4,7,23,0,3,188
4,7,9,23,2,35
4,7,6,4,6,104
5,6,4,23,7,141
5,6,17,1,5,123
5,6,21,18,4,46
5,6,14,5,7,189
5,6,14,16,4,28
5,6,4,9,6,275
6,13,17,23,4,148
6,13,22,17,1,10
6,13,19,20,1,39
6,13,23,13,3,155
6,13,4,19,4,40
6,13,7,2,7,8
6,13,7,17,1,279
6,13,5,6,8,11
6,13,10,11,7,117
6,13,2,7,7,133
6,13,4,9,6,17
6,13,1,9,3,41
6,13,1,16,8,101
7,2,11,4,3,24
7,2,17,0,2,140
8,6,10,6,4,88
8,6,8,23,3,84
8,6,1,2,6,51
8,6,17,19,4,180
8,6,18,7,1,115
8,6,16,0,5,145
9,8,8,23,1,82
9,8,16,23,2,41
9,8,22,11,4,40
9,8,8,1,4,35
9,8,6,8,8,41
9,8,7,20,7,109
9,8,2,7,7,114
9,8,2,5,7,143
10,4,22,15,6,43
10,4,17,5,3,47
10,4,2,21,4,109
10,4,14,6,1,33
11,9,23,7,7,4
11,9,15,7,7,3
11,9,17,21,3,15
11,9,1,5,3,55
11,9,14,21,6,4
11,9,0,9,2,228
11,9,4,10,1,153
11,9,23,0,2,29
11,9,12,0,3,426
12,7,19,9,3,151
12,7,14,19,8,54
12,7,18,13,3,28
12,7,14,16,2,69
12,7,13,5,5,55
12,7,20,15,7,6
12,7,13,2,6,6
13,3,19,17,5,7
13,3,0,22,4,157
13,3,15,17,1,14
14,12,5,23,5,44
14,12,17,9,4,21
14,12,16,11,7,230
14,12,1,0,5,93
14,12,6,23,1,34
14,12,22,1,2,136
14,12,10,11,7,188
14,12,22,8,8,50
14,12,6,3,5,101
14,12,11,6,4,101
14,12,0,7,6,39
14,12,2,11,3,80
15,12,18,1,3,226
15,12,11,14,5,73
15,12,17,7,8,84
15,12,4,20,8,283
15,12,22,7,6,34
15,12,6,12,1,74
15,12,0,19,4,87
15,12,16,19,7,131
15,12,11,5,5,23
15,12,8,18,5,19
15,12,23,18,5,14
15,12,13,9,8,30
16,7,11,12,2,70
16,7,18,14,5,62
16,7,12,15,8,291
16,7,1,5,6,20
16,7,16,11,1,19
16,7,2,13,7,20
16,7,3,2,8,57
17,7,10,23,6,78
17,7,20,8,5,36
17,7,22,18,2,15
17,7,3,4,6,71
17,7,16,11,3,101
17,7,3,6,7,36
17,7,18,22,8,17
18,6,21,8,6,3
18,6,1,5,5,65
18,6,0,9,8,55
18,6,18,0,8,64
18,6,21,16,7,127
18,6,0,15,5,202
19,5,12,21,5,40
19,5,21,17,4,133
19,5,2,15,3,1
19,5,0,14,8,55
19,5,3,5,4,154
20,8,14,16,7,50
20,8,9,21,3,127
20,8,21,11,6,217
20,8,14,12,7,14
20,8,19,13,7,139
20,8,0,11,4,61
20,8,11,9,6,37
20,8,12,13,8,94
21,10,20,22,4,212
21,10,21,19,6,121
21,10,22,11,4,22
21,10,7,21,1,297
21,10,7,5,5,59
21,10,21,9,5,2
21,10,7,15,6,68
21,10,1,7,8,44
21,10,10,12,5,11
21,10,14,22,7,44
22,8,10,20,4,112
22,8,5,17,5,40
22,8,14,22,2,23
22,8,23,12,6,6
22,8,18,14,6,164
22,8,6,18,8,36
22,8,18,8,6,14
22,8,0,15,4,66
23,6,14,0,7,6
23,6,20,16,4,15
23,6,4,9,1,186
23,6,6,12,2,57
23,6,12,11,7,278
23,6,20,14,7,258
24,10,15,7,3,39
24,10,16,5,5,108
24,10,18,11,6,28
24,10,1,17,6,225
24,10,15,23,5,24
24,10,9,2,3,10
24,10,3,16,3,1
24,10,11,4,6,78
24,10,13,0,3,21
24,10,17,2,5,105
25,5,20,2,6,301
25,5,14,9,2,90
25,5,10,17,4,119
25,5,8,2,4,71
25,5,9,4,6,156
26,4,8,14,1,74
26,4,20,17,8,44
26,4,0,23,8,232
26,4,12,21,4,25
27,8,2,21,4,70
27,8,2,8,6,44
27,8,23,5,3,22
27,8,5,14,6,46
27,8,18,8,4,24
27,8,2,16,1,198
27,8,7,9,3,19
27,8,21,1,1,33
28,7,3,9,1,277
28,7,0,15,6,13
28,7,0,19,2,89
28,7,0,17,8,28
28,7,14,15,2,7
28,7,17,2,6,115
28,7,21,3,8,45
29,6,12,2,6,9
29,6,1,0,1,341
29,6,20,14,4,3
29,6,21,11,8,17
29,6,13,11,3,18
29,6,16,20,1,5
30,10,13,21,7,12
30,10,22,23,4,39
30,10,4,2,1,25
30,10,5,8,4,64
30,10,5,23,1,59
30,10,18,2,7,148
30,10,2,10,8,74
30,10,4,2,4,62
30,10,1,4,8,75
30,10,8,12,8,78
31,12,6,20,8,69
31,12,5,1,7,39
31,12,4,15,7,37
31,12,3,12,7,54
31,12,9,3,1,40
31,12,14,16,3,36
31,12,2,19,8,89
31,12,14,12,8,157
31,12,9,14,8,75
31,12,7,22,7,44
31,12,4,18,7,14
31,12,16,22,2,2
32,7,19,4,8,9
32,7,5,18,2,79
32,7,21,8,4,21
32,7,2,11,6,2
32,7,3,7,8,27
32,7,15,13,3,184
32,7,23,13,7,147
33,10,2,6,8,58
33,10,23,6,2,101
33,10,9,11,6,9
33,10,5,7,2,68
33,10,7,18,1,155
33,10,4,10,8,4
33,10,20,15,5,297
33,10,15,10,6,44
33,10,21,7,3,36
33,10,16,3,2,44
34,11,9,15,3,38
34,11,15,11,5,45
34,11,11,9,8,59
34,11,4,16,6,55
34,11,14,13,3,48
34,11,13,9,1,44
34,11,9,4,6,160
34,11,21,15,5,106
34,11,22,21,4,19
34,11,1,6,3,183
34,11,11,18,3,252
35,9,2,21,6,41
35,9,15,14,5,51
35,9,4,22,5,144
35,9,2,16,6,115
35,9,3,0,3,30
35,9,16,5,4,111
35,9,21,5,6,74
35,9,22,20,7,156
35,9,22,5,2,81
36,5,5,12,5,12
36,5,5,19,1,24
36,5,0,16,7,22
36,5,23,3,1,75
36,5,15,21,5,113
37,9,14,21,5,70
37,9,2,3,3,67
37,9,2,11,3,150
37,9,2,7,5,22
37,9,10,14,7,84
37,9,8,19,1,55
37,9,6,23,2,281
37,9,7,5,8,4
37,9,21,15,8,228
38,9,9,2,5,478
38,9,21,5,7,110
38,9,2,12,6,64
38,9,17,16,2,14
38,9,0,10,2,50
38,9,3,17,3,96
38,9,13,18,8,52
38,9,12,11,6,74
38,9,13,15,2,202
39,11,8,17,4,152
39,11,9,18,8,321
39,11,19,9,2,83
39,11,16,4,3,101
39,11,18,9,5,62
39,11,17,7,4,11
39,11,17,6,5,6
39,11,12,2,2,92
39,11,9,22,2,34
39,11,23,1,2,71
39,11,2,14,7,296
40,6,7,8,6,151
40,6,0,2,7,39
40,6,5,16,2,29
40,6,21,13,1,76
40,6,9,2,2,284
40,6,1,22,1,37
41,6,14,18,1,11
41,6,14,21,6,187
41,6,19,7,3,310
41,6,20,17,1,83
41,6,5,11,2,59
41,6,12,8,5,24
42,5,11,15,5,1
42,5,10,13,8,12
42,5,22,19,7,17
42,5,15,2,6,27
42,5,17,22,5,6
43,6,1,23,2,34
43,6,18,19,5,31
43,6,19,20,6,35
43,6,19,0,6,95
43,6,1,23,2,163
43,6,13,7,3,133
44,4,5,18,1,54
44,4,17,8,3,67
44,4,5,11,2,5
44,4,9,10,4,189
45,7,21,10,3,113
45,7,23,5,5,127
45,7,9,5,6,10
45,7,21,11,1,77
45,7,9,13,4,16
45,7,20,16,7,46
45,7,16,8,2,26
46,5,4,20,4,133
46,5,21,7,3,22
46,5,3,13,6,4
46,5,19,13,2,21
46,5,4,20,3,4
47,4,8,7,5,20
47,4,4,22,3,259
47,4,11,23,8,5
47,4,21,3,3,23
48,13,11,7,3,36
48,13,10,14,1,72
48,13,1,9,3,62
48,13,9,22,5,11
48,13,17,14,5,35
48,13,23,18,4,171
48,13,21,20,1,270
48,13,4,6,2,78
48,13,12,16,5,58
48,13,11,21,6,101
48,13,0,21,2,30
48,13,4,23,1,153
48,13,14,8,5,85
49,10,6,2,3,10
49,10,7,18,4,156
49,10,20,12,3,14
49,10,18,20,7,8
49,10,3,0,1,15
49,10,2,14,8,33
49,10,11,23,8,51
49,10,19,2,8,13
49,10,22,5,4,21
49,10,3,9,3,33
50,9,12,23,7,68
